City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Rain,Snow,Date
227,Troitskoye,52.98,84.68,21.79,86,88,7.2,RU,overcast clouds,0.0,0.0,2020-02-20 22:48:36
228,Almaznyy,48.04,40.05,33.8,100,75,11.18,RU,broken clouds,0.0,0.38,2020-02-20 22:48:37
229,Ahipara,-35.17,173.17,71.1,79,88,13.56,NZ,overcast clouds,0.0,0.0,2020-02-20 22:48:37
230,Roald,62.58,6.13,41.0,69,50,20.8,NO,scattered clouds,0.0,0.0,2020-02-20 22:48:38
231,Broome,42.25,-75.83,21.0,62,90,5.82,US,overcast clouds,0.0,0.0,2020-02-20 22:48:38
232,Buraydah,26.33,43.98,55.4,66,0,5.82,SA,clear sky,0.0,0.0,2020-02-20 22:48:40
233,Nanortalik,60.14,-45.24,25.14,68,100,5.97,GL,overcast clouds,0.0,0.0,2020-02-20 22:47:35
234,Ixtapa,20.7,-105.2,78.01,83,40,11.41,MX,scattered clouds,0.0,0.0,2020-02-20 22:45:24
235,Mocuba,-16.84,36.99,73.72,97,11,2.13,MZ,few clouds,0.0,0.0,2020-02-20 22:48:41
236,Sinnamary,5.38,-52.95,78.17,74,64,13.8,GF,broken clouds,0.0,0.0,2020-02-20 22:48:42
237,Ornskoldsvik,63.29,18.72,35.6,97,100,19.46,SE,snow,0.0,2.5,2020-02-20 22:48:42
238,Te Anau,-45.42,167.72,57.81,84,80,8.97,NZ,light rain,0.38,0.0,2020-02-20 22:48:43
239,Hun,29.13,15.95,53.15,59,0,7.02,LY,clear sky,0.0,0.0,2020-02-20 22:48:43
240,Progreso,21.28,-89.67,89.6,55,40,11.41,MX,scattered clouds,0.0,0.0,2020-02-20 22:48:44
241,Shenjiamen,29.96,122.3,53.49,83,0,10.04,CN,clear sky,0.0,0.0,2020-02-20 22:48:44
242,Zhezkazgan,47.8,67.71,14.54,88,100,8.14,KZ,overcast clouds,0.0,0.0,2020-02-20 22:48:45
243,Sapele,5.89,5.68,80.17,83,0,2.37,NG,clear sky,0.0,0.0,2020-02-20 22:48:45
244,Simiti,7.96,-73.94,83.86,56,68,3.71,CO,broken clouds,0.0,0.0,2020-02-20 22:48:46
245,Cayenne,4.93,-52.33,78.8,74,67,3.36,GF,broken clouds,0.0,0.0,2020-02-20 22:48:46
246,Kalispell,48.2,-114.31,37.99,43,1,8.05,US,clear sky,0.0,0.0,2020-02-20 22:45:53
247,Lompoc,34.64,-120.46,75.99,25,1,4.7,US,clear sky,0.0,0.0,2020-02-20 22:45:38
248,Nerchinskiy Zavod,51.31,119.61,3.31,87,100,3.33,RU,overcast clouds,0.0,0.0,2020-02-20 22:48:48
249,Severo-Kurilsk,50.68,156.12,18.63,87,100,18.34,RU,light snow,0.0,1.25,2020-02-20 22:48:48
250,Caceres,39.52,-6.37,46.99,84,0,5.99,ES,clear sky,0.0,0.0,2020-02-20 22:48:49
251,Vestmanna,62.16,-7.17,41.0,75,100,31.09,FO,light snow,0.0,0.56,2020-02-20 22:48:49
252,Barra Patuca,15.8,-84.28,80.33,79,49,11.05,HN,light rain,0.31,0.0,2020-02-20 22:48:50
253,Tual,-5.67,132.75,81.36,80,100,14.9,ID,moderate rain,5.06,0.0,2020-02-20 22:48:50
254,Bambous Virieux,-20.34,57.76,78.8,74,40,10.29,MU,scattered clouds,0.0,0.0,2020-02-20 22:48:51
255,Biak,-0.91,122.88,81.93,73,67,8.97,ID,light rain,0.69,0.0,2020-02-20 22:48:51
256,Thinadhoo,0.53,72.93,83.5,78,37,15.79,MV,light rain,0.38,0.0,2020-02-20 22:48:52
257,Half Moon Bay,37.46,-122.43,71.01,51,75,3.36,US,broken clouds,0.0,0.0,2020-02-20 22:48:52
258,Vanimo,-2.67,141.3,81.18,80,96,12.17,PG,light rain,1.81,0.0,2020-02-20 22:48:53
259,Portland,45.52,-122.68,57.99,37,40,13.87,US,scattered clouds,0.0,0.0,2020-02-20 22:46:09
260,Havelock,34.88,-76.9,41.0,93,90,20.8,US,moderate rain,7.31,0.0,2020-02-20 22:48:54
261,Mawlaik,23.63,94.42,56.23,68,0,1.52,MM,clear sky,0.0,0.0,2020-02-20 22:48:55
262,Mehamn,71.04,27.85,26.6,85,75,29.97,NO,broken clouds,0.0,0.0,2020-02-20 22:48:55
263,Port-Gentil,-0.72,8.78,84.2,83,40,8.05,GA,scattered clouds,0.12,0.0,2020-02-20 22:48:56
264,Funtua,11.52,7.31,68.25,17,0,9.33,NG,clear sky,0.0,0.0,2020-02-20 22:48:56
265,Vieste,41.88,16.18,39.2,93,5,9.17,IT,clear sky,0.0,0.0,2020-02-20 22:48:57
266,Cecava,44.69,17.77,33.8,74,39,9.17,BA,scattered clouds,0.0,0.0,2020-02-20 22:48:57
267,Namatanai,-3.67,152.43,84.52,69,31,8.01,PG,scattered clouds,0.0,0.0,2020-02-20 22:48:58
268,Bray,53.2,-6.1,41.0,86,20,18.34,IE,few clouds,0.0,0.0,2020-02-20 22:45:00
269,Yaypan,40.38,70.82,38.7,49,0,1.61,UZ,clear sky,0.0,0.0,2020-02-20 22:48:59
270,Wladyslawowo,54.79,18.4,41.0,64,40,16.11,PL,scattered clouds,0.0,0.0,2020-02-20 22:48:59
271,Green River,41.53,-109.47,21.2,53,1,3.36,US,clear sky,0.0,0.0,2020-02-20 22:49:00
272,Warsaw,52.23,21.01,37.0,92,39,6.93,PL,scattered clouds,0.0,0.0,2020-02-20 22:48:31
273,Fortuna,40.6,-124.16,64.99,71,1,11.41,US,clear sky,0.0,0.0,2020-02-20 22:49:01
274,Mareeba,-17.0,145.43,88.0,79,40,11.41,AU,light intensity shower rain,0.0,0.0,2020-02-20 22:49:01
275,Selma,36.57,-119.61,75.99,24,1,1.23,US,clear sky,0.0,0.0,2020-02-20 22:49:02
276,Cervo,43.67,-7.41,52.0,1,100,5.57,ES,overcast clouds,0.0,0.0,2020-02-20 22:49:03
277,Ayni,39.39,68.54,22.19,7,0,9.86,TJ,clear sky,0.0,0.0,2020-02-20 22:49:03
278,Geraldton,-28.77,114.6,73.4,83,99,4.7,AU,light rain,0.19,0.0,2020-02-20 22:49:04
