City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
199,Bulgan,MN,2020-02-19 19:03:51,48.81,103.53,3.76,95,100,5.75
200,Andenes,NO,2020-02-19 19:03:04,69.31,16.12,26.6,68,40,13.87
201,Margate,GB,2020-02-19 19:03:51,51.38,1.39,48.99,93,75,13.87
202,Aguas Formosas,BR,2020-02-19 19:03:51,-17.08,-40.94,80.71,76,51,4.74
203,Montbrison,FR,2020-02-19 19:03:52,45.67,4.08,46.4,75,90,4.7
204,Matamoros,MX,2020-02-19 19:03:52,25.53,-103.25,75.2,53,5,1.1
205,San Jose,US,2020-02-19 19:01:33,37.34,-121.89,60.01,81,1,6.93
206,Trairi,BR,2020-02-19 19:03:52,-3.28,-39.27,81.1,83,100,5.7
207,Pawai,IN,2020-02-19 19:03:53,24.27,80.17,66.81,22,100,8.05
208,Walvis Bay,NA,2020-02-19 19:03:53,-22.96,14.51,66.0,90,76,14.14
209,Avera,US,2020-02-19 19:03:53,33.19,-82.53,64.4,100,90,11.41
210,Ostrovnoy,RU,2020-02-19 19:03:53,68.05,39.51,19.76,78,100,7.72
211,Atar,MR,2020-02-19 19:03:53,20.52,-13.05,89.28,7,0,13.31
212,Abu Kamal,SY,2020-02-19 19:03:54,34.45,40.92,58.1,82,99,4.23
213,Vila Velha,BR,2020-02-19 19:00:20,-20.33,-40.29,87.01,70,20,19.46
214,Kloulklubed,PW,2020-02-19 19:03:54,7.04,134.26,77.0,78,90,9.17
215,Newcastle,AU,2020-02-19 19:03:54,-32.93,151.78,66.99,87,0,4.7
216,Georgetown,MY,2020-02-19 19:03:54,5.41,100.34,80.6,78,20,4.7
217,Buraydah,SA,2020-02-19 18:59:16,26.33,43.98,78.8,54,75,19.46
218,Herat,AF,2020-02-19 19:03:55,34.5,62.0,37.4,59,7,2.24
219,Luanda,AO,2020-02-19 19:03:55,-8.84,13.23,75.2,88,75,14.99
220,Padang,ID,2020-02-19 19:02:32,-0.95,100.35,68.27,89,97,6.62
221,Shakawe,BW,2020-02-19 19:03:55,-18.37,21.85,72.81,81,92,3.91
222,San Patricio,MX,2020-02-19 19:03:56,19.22,-104.7,84.2,62,5,11.41
223,Amboasary,MG,2020-02-19 19:03:56,-25.03,46.38,78.8,83,40,13.87
224,Agadir,MA,2020-02-19 19:03:56,30.42,-9.6,64.4,77,0,11.41
225,Grindavik,IS,2020-02-19 19:03:56,63.84,-22.43,28.4,100,90,28.86
226,West Wendover,US,2020-02-19 19:03:57,40.74,-114.07,32.0,48,1,5.82
227,Livingston,GB,2020-02-19 19:00:28,55.9,-3.52,48.99,87,40,17.22
228,Bajitpur,BD,2020-02-19 19:03:57,24.22,90.95,66.81,45,50,3.49
229,Traiguen,CL,2020-02-19 19:03:57,-38.25,-72.68,73.38,24,19,13.87
230,Marzuq,YE,2020-02-19 19:03:57,14.4,46.47,67.42,60,1,6.08
231,Carnarvon,AU,2020-02-19 19:03:58,-24.87,113.63,80.6,74,100,3.36
232,Perth,AU,2020-02-19 19:00:06,-31.93,115.83,82.4,32,100,13.87
233,Ust-Uda,RU,2020-02-19 19:03:58,54.17,103.03,7.07,97,100,1.72
234,Torbay,CA,2020-02-19 19:03:58,47.67,-52.73,41.0,93,90,48.32
235,Matehuala,MX,2020-02-19 19:03:59,23.65,-100.65,66.54,58,99,11.03
236,Sabha,LY,2020-02-19 19:03:59,27.04,14.43,59.38,36,0,8.97
237,Souillac,MU,2020-02-19 19:03:59,-20.52,57.52,78.8,78,40,11.41
238,Byron Bay,AU,2020-02-19 19:02:54,-28.65,153.62,78.01,83,27,11.41
239,Wilmington,US,2020-02-19 19:00:06,34.23,-77.94,55.0,87,90,18.34
240,Tazovskiy,RU,2020-02-19 19:04:00,67.47,78.7,27.68,97,100,7.83
241,Kapit,MY,2020-02-19 19:04:00,2.02,112.93,72.7,99,100,1.59
242,Upernavik,GL,2020-02-19 19:04:00,72.79,-56.15,-10.25,87,100,2.3
243,Olafsvik,IS,2020-02-19 19:04:00,64.89,-23.71,32.54,78,100,31.81
244,Bataipora,BR,2020-02-19 19:04:00,-22.3,-53.27,90.05,62,91,1.52
245,Eyl,SO,2020-02-19 19:02:05,7.98,49.82,78.58,77,0,15.21
246,Hinton,CA,2020-02-19 19:00:10,53.4,-117.59,21.04,78,0,9.69
247,Pacific Grove,US,2020-02-19 19:04:01,36.62,-121.92,60.01,57,1,11.52
248,Tres Coracoes,BR,2020-02-19 19:04:01,-21.7,-45.25,78.24,72,86,4.97
249,Virginia Beach,US,2020-02-19 19:04:01,36.85,-75.98,51.01,45,90,8.05
250,Namatanai,PG,2020-02-19 19:04:02,-3.67,152.43,80.76,77,89,5.39
251,Segou,ML,2020-02-19 19:04:02,13.43,-6.22,92.16,8,0,5.37
252,Meulaboh,ID,2020-02-19 19:04:02,4.14,96.13,81.19,77,100,3.02
253,Aklavik,CA,2020-02-19 19:04:02,68.22,-135.01,15.8,77,90,3.36
254,Marsh Harbour,BS,2020-02-19 19:04:02,26.54,-77.06,76.24,77,22,7.99
255,Cayenne,GF,2020-02-19 19:03:05,4.93,-52.33,82.4,69,75,17.22
256,Watsa,CD,2020-02-19 19:04:03,3.04,29.54,77.7,58,69,1.99
257,Kargala,RU,2020-02-19 19:04:03,56.62,83.96,23.0,90,100,9.75
258,Fortuna,US,2020-02-19 19:04:03,40.6,-124.16,53.01,66,1,3.11
259,Sorong,ID,2020-02-19 19:04:04,-0.88,131.25,73.2,97,99,2.46
260,Turukhansk,RU,2020-02-19 19:04:04,65.82,87.98,14.04,92,100,12.59
261,Goderich,CA,2020-02-19 19:04:04,43.75,-81.72,26.01,77,86,5.99
262,Rathdrum,US,2020-02-19 19:04:04,47.81,-116.89,34.0,58,1,8.05
263,Barra Do Garcas,BR,2020-02-19 19:04:04,-15.89,-52.26,91.4,49,75,2.24
264,Ahipara,NZ,2020-02-19 19:04:05,-35.17,173.17,64.0,100,4,7.52
265,Hamilton,US,2020-02-19 19:00:28,39.18,-84.53,44.01,48,1,8.05
266,Coruripe,BR,2020-02-19 19:04:05,-10.13,-36.18,82.96,66,98,12.41
267,Wanning,CN,2020-02-19 19:04:06,18.8,110.4,68.86,88,56,8.3
268,Hammerfest,NO,2020-02-19 19:04:06,70.66,23.68,24.8,85,40,23.04
269,Manacapuru,BR,2020-02-19 19:04:06,-3.3,-60.62,89.6,55,40,6.93
270,Saskylakh,RU,2020-02-19 19:04:06,71.92,114.08,-7.91,89,0,7.99
271,Nishihara,JP,2020-02-19 19:04:06,26.18,127.76,57.2,71,36,3.36
272,Raybag,IN,2020-02-19 19:04:07,16.48,74.78,71.26,40,0,7.27
273,Belmonte,BR,2020-02-19 19:04:07,-15.86,-38.88,82.4,100,75,3.36
274,Kapoeta,SS,2020-02-19 19:04:07,4.77,33.59,91.67,32,71,7.2
275,Lerwick,GB,2020-02-19 19:04:07,60.15,-1.15,42.8,70,20,27.51
276,Samarai,PG,2020-02-19 19:04:07,-10.62,150.67,77.72,78,61,3.31
277,Noumea,NC,2020-02-19 19:00:06,-22.28,166.46,80.01,78,40,15.12
278,Shache,CN,2020-02-19 19:04:08,38.42,77.24,34.21,37,0,4.47
279,Lasa,IT,2020-02-19 19:04:08,46.62,10.7,50.0,68,75,4.7
280,Shimoda,JP,2020-02-19 19:04:08,34.67,138.95,36.0,88,66,2.42
281,Chicama,PE,2020-02-19 19:04:09,-7.84,-79.15,75.2,78,20,11.41
282,Sur,OM,2020-02-19 19:04:09,22.57,59.53,69.01,54,0,1.74
